Title,abstract,Processed_Title,Processed_Abstract
On Metric Skyline Processing by PM-tree,"The task of similarity search in multimedia databases is usually accomplished by range or k nearest neighbor queries. However, the expressing power of these ""single-example"" queries fails when the user's delicate query intent is not available as a single example. Recently, the well-known skyline operator was reused in metric similarity search as a ""multi-example"" query type. When applied on a multi-dimensional database (i.e., on a multi-attribute table), the traditional skyline operator selects all database objects that are not dominated by other objects. The metric skyline query adopts the skyline operator such that the multiple attributes are represented by distances (similarities) to multiple query examples. Hence, we can view the metric skyline as a set of representative database objects which are as similar to all the examples as possible and, simultaneously, are semantically distinct. In this paper we propose a technique of processing the metric skyline query by use of PM-tree, while we show that our technique significantly outperforms the original M-tree based implementation in both time and space costs. In experiments we also evaluate the partial metric skyline processing, where only a controlled number of skyline objects is retrieved.",metric skyline processing pmtree,task similarity search multimedia databases usually accomplished range k nearest neighbor queries however expressing power singleexample queries fails users delicate query intent available single example recently wellknown skyline operator reused metric similarity search multiexample query type applied multidimensional database ie multiattribute table traditional skyline operator selects database objects dominated objects metric skyline query adopts skyline operator multiple attributes represented distances similarities multiple query examples hence view metric skyline set representative database objects similar examples possible simultaneously semantically distinct paper propose technique processing metric skyline query use pmtree show technique significantly outperforms original mtree based implementation time space costs experiments also evaluate partial metric skyline processing controlled number skyline objects retrieved
Minimum Cost Loop Nests for Contraction of a Sparse Tensor with a Tensor   Network,"Sparse tensor decomposition and completion are common in numerous applications, ranging from machine learning to computational quantum chemistry. Typically, the main bottleneck in optimization of these models are contractions of a single large sparse tensor with a network of several dense matrices or tensors (SpTTN). Prior works on high-performance tensor decomposition and completion have focused on performance and scalability optimizations for specific SpTTN kernels. We present algorithms and a runtime system for identifying and executing the most efficient loop nest for any SpTTN kernel. We consider both enumeration of such loop nests for autotuning and efficient algorithms for finding the lowest cost loop-nest for simpler metrics, such as buffer size or cache miss models. Our runtime system identifies the best choice of loop nest without user guidance, and also provides a distributed-memory parallelization of SpTTN kernels. We evaluate our framework using both real-world and synthetic tensors. Our results demonstrate that our approach outperforms available generalized state-of-the-art libraries and matches the performance of specialized codes.",minimum cost loop nests contraction sparse tensor tensor network,sparse tensor decomposition completion common numerous applications ranging machine learning computational quantum chemistry typically main bottleneck optimization models contractions single large sparse tensor network several dense matrices tensors spttn prior works highperformance tensor decomposition completion focused performance scalability optimizations specific spttn kernels present algorithms runtime system identifying executing efficient loop nest spttn kernel consider enumeration loop nests autotuning efficient algorithms finding lowest cost loopnest simpler metrics buffer size cache miss models runtime system identifies best choice loop nest without user guidance also provides distributedmemory parallelization spttn kernels evaluate framework using realworld synthetic tensors results demonstrate approach outperforms available generalized stateoftheart libraries matches performance specialized codes
MPI+X: task-based parallelization and dynamic load balance of finite   element assembly,"The main computing tasks of a finite element code(FE) for solving partial differential equations (PDE's) are the algebraic system assembly and the iterative solver. This work focuses on the first task, in the context of a hybrid MPI+X paradigm. Although we will describe algorithms in the FE context, a similar strategy can be straightforwardly applied to other discretization methods, like the finite volume method. The matrix assembly consists of a loop over the elements of the MPI partition to compute element matrices and right-hand sides and their assemblies in the local system to each MPI partition. In a MPI+X hybrid parallelism context, X has consisted traditionally of loop parallelism using OpenMP. Several strategies have been proposed in the literature to implement this loop parallelism, like coloring or substructuring techniques to circumvent the race condition that appears when assembling the element system into the local system. The main drawback of the first technique is the decrease of the IPC due to bad spatial locality. The second technique avoids this issue but requires extensive changes in the implementation, which can be cumbersome when several element loops should be treated. We propose an alternative, based on the task parallelism of the element loop using some extensions to the OpenMP programming model. The taskification of the assembly solves both aforementioned problems. In addition, dynamic load balance will be applied using the DLB library, especially efficient in the presence of hybrid meshes, where the relative costs of the different elements is impossible to estimate a priori. This paper presents the proposed methodology, its implementation and its validation through the solution of large computational mechanics problems up to 16k cores.",mpix taskbased parallelization dynamic load balance finite element assembly,main computing tasks finite element codefe solving partial differential equations pdes algebraic system assembly iterative solver work focuses first task context hybrid mpix paradigm although describe algorithms fe context similar strategy straightforwardly applied discretization methods like finite volume method matrix assembly consists loop elements mpi partition compute element matrices righthand sides assemblies local system mpi partition mpix hybrid parallelism context x consisted traditionally loop parallelism using openmp several strategies proposed literature implement loop parallelism like coloring substructuring techniques circumvent race condition appears assembling element system local system main drawback first technique decrease ipc due bad spatial locality second technique avoids issue requires extensive changes implementation cumbersome several element loops treated propose alternative based task parallelism element loop using extensions openmp programming model taskification assembly solves aforementioned problems addition dynamic load balance applied using dlb library especially efficient presence hybrid meshes relative costs different elements impossible estimate priori paper presents proposed methodology implementation validation solution large computational mechanics problems k cores
SAFIUS - A secure and accountable filesystem over untrusted storage,"We describe SAFIUS, a secure accountable file system that resides over an untrusted storage. SAFIUS provides strong security guarantees like confidentiality, integrity, prevention from rollback attacks, and accountability. SAFIUS also enables read/write sharing of data and provides the standard UNIX-like interface for applications. To achieve accountability with good performance, it uses asynchronous signatures; to reduce the space required for storing these signatures, a novel signature pruning mechanism is used. SAFIUS has been implemented on a GNU/Linux based system modifying OpenGFS. Preliminary performance studies show that SAFIUS has a tolerable overhead for providing secure storage: while it has an overhead of about 50% of OpenGFS in data intensive workloads (due to the overhead of performing encryption/decryption in software), it is comparable (or better in some cases) to OpenGFS in metadata intensive workloads.",safius secure accountable filesystem untrusted storage,describe safius secure accountable file system resides untrusted storage safius provides strong security guarantees like confidentiality integrity prevention rollback attacks accountability safius also enables readwrite sharing data provides standard unixlike interface applications achieve accountability good performance uses asynchronous signatures reduce space required storing signatures novel signature pruning mechanism used safius implemented gnulinux based system modifying opengfs preliminary performance studies show safius tolerable overhead providing secure storage overhead opengfs data intensive workloads due overhead performing encryptiondecryption software comparable better cases opengfs metadata intensive workloads
Consideration for effectively handling parallel workloads on public   cloud system,"We retrieved and analyzed parallel storage workloads of the FUJITSU K5 cloud service to clarify how to build cost-effective hybrid storage systems. A hybrid storage system consists of fast but low-capacity tier (first tier) and slow but high-capacity tier (second tier). And, it typically consists of either SSDs and HDDs or NVMs and SSDs. As a result, we found that 1) regions for first tier should be assigned only if a workload includes large number of IO accesses for a whole day, 2) the regions that include a large number of IO accesses should be dynamically chosen and moved from second tier to first tier for a short interval, and 3) if a cache hit ratio is regularly low, use of the cache for the workload should be cancelled, and the whole workload region should be assigned to the region for first tier. These workloads already have been released from the SNIA web site.",consideration effectively handling parallel workloads public cloud system,retrieved analyzed parallel storage workloads fujitsu k cloud service clarify build costeffective hybrid storage systems hybrid storage system consists fast lowcapacity tier first tier slow highcapacity tier second tier typically consists either ssds hdds nvms ssds result found regions first tier assigned workload includes large number io accesses whole day regions include large number io accesses dynamically chosen moved second tier first tier short interval cache hit ratio regularly low use cache workload cancelled whole workload region assigned region first tier workloads already released snia web site
"Vertical, Temporal, and Horizontal Scaling of Hierarchical Hypersparse   GraphBLAS Matrices","Hypersparse matrices are a powerful enabler for a variety of network, health, finance, and social applications. Hierarchical hypersparse GraphBLAS matrices enable rapid streaming updates while preserving algebraic analytic power and convenience. In many contexts, the rate of these updates sets the bounds on performance. This paper explores hierarchical hypersparse update performance on a variety of hardware with identical software configurations. The high-level language bindings of the GraphBLAS readily enable performance experiments on simultaneous diverse hardware. The best single process performance measured was 4,000,000 updates per second. The best single node performance measured was 170,000,000 updates per second. The hardware used spans nearly a decade and allows a direct comparison of hardware improvements for this computation over this time range; showing a 2x increase in single-core performance, a 3x increase in single process performance, and a 5x increase in single node performance. Running on nearly 2,000 MIT SuperCloud nodes simultaneously achieved a sustained update rate of over 200,000,000,000 updates per second. Hierarchical hypersparse GraphBLAS allows the MIT SuperCloud to analyze extremely large streaming network data sets.",vertical temporal horizontal scaling hierarchical hypersparse graphblas matrices,hypersparse matrices powerful enabler variety network health finance social applications hierarchical hypersparse graphblas matrices enable rapid streaming updates preserving algebraic analytic power convenience many contexts rate updates sets bounds performance paper explores hierarchical hypersparse update performance variety hardware identical software configurations highlevel language bindings graphblas readily enable performance experiments simultaneous diverse hardware best single process performance measured updates per second best single node performance measured updates per second hardware used spans nearly decade allows direct comparison hardware improvements computation time range showing x increase singlecore performance x increase single process performance x increase single node performance running nearly mit supercloud nodes simultaneously achieved sustained update rate updates per second hierarchical hypersparse graphblas allows mit supercloud analyze extremely large streaming network data sets
Effectiveness of Anonymization in Double-Blind Review,"Double-blind review relies on the authors' ability and willingness to effectively anonymize their submissions. We explore anonymization effectiveness at ASE 2016, OOPSLA 2016, and PLDI 2016 by asking reviewers if they can guess author identities. We find that 74%-90% of reviews contain no correct guess and that reviewers who self-identify as experts on a paper's topic are more likely to attempt to guess, but no more likely to guess correctly. We present our findings, summarize the PC chairs' comments about administering double-blind review, discuss the advantages and disadvantages of revealing author identities part of the way through the process, and conclude by advocating for the continued use of double-blind review.",effectiveness anonymization doubleblind review,doubleblind review relies authors ability willingness effectively anonymize submissions explore anonymization effectiveness ase oopsla pldi asking reviewers guess author identities find reviews contain correct guess reviewers selfidentify experts papers topic likely attempt guess likely guess correctly present findings summarize pc chairs comments administering doubleblind review discuss advantages disadvantages revealing author identities part way process conclude advocating continued use doubleblind review
Max Bense as a Visionary: from Entropy to the Dialectics of Programmed   Images,"In 1960 in Stuttgart, Max Bense published the book Programming the Beautiful [Programmierung des Sch{\""o}nen]. Bense looks in cybernetics for scientific concepts and instigates the thought of programming in the field of literature. His information aesthetics influences a whole generation of scientists and artists - including the Stuttgart Circle, which takes hold of the new aesthetics to carry out the first programmed artistic images. Is Max Bense a visionary? How is he revolutionizing the world of images? The article discusses the cybernetics that inspired Bense: a science of probability that contrasts with the principles of Newtonian physics. Moreover, in the sixties, Max Bense, together with Elisabeth Walther, launched the experimental magazine Rot, which devoted its pages to the concrete poetry and the first computer-generated images of Georg Nees. As Frieder Nake defends through his pioneering work and theory, these images oppose the visible and the computable. This dialectic opens to a critical thinking on the algorithmic image in art and science.",max bense visionary entropy dialectics programmed images,stuttgart max bense published book programming beautiful programmierung des schonen bense looks cybernetics scientific concepts instigates thought programming field literature information aesthetics influences whole generation scientists artists including stuttgart circle takes hold new aesthetics carry first programmed artistic images max bense visionary revolutionizing world images article discusses cybernetics inspired bense science probability contrasts principles newtonian physics moreover sixties max bense together elisabeth walther launched experimental magazine rot devoted pages concrete poetry first computergenerated images georg nees frieder nake defends pioneering work theory images oppose visible computable dialectic opens critical thinking algorithmic image art science
Supporting Knowledge and Expertise Finding within Australia's Defence   Science and Technology Organisation,"This paper reports on work aimed at supporting knowledge and expertise finding within a large Research and Development (R&D) organisation. The paper first discusses the nature of knowledge important to R&D organisations and presents a prototype information system developed to support knowledge and expertise finding. The paper then discusses a trial of the system within an R&D organisation, the implications and limitations of the trial, and discusses future research questions.",supporting knowledge expertise finding within australias defence science technology organisation,paper reports work aimed supporting knowledge expertise finding within large research development rd organisation paper first discusses nature knowledge important rd organisations presents prototype information system developed support knowledge expertise finding paper discusses trial system within rd organisation implications limitations trial discusses future research questions
Super-Linear Speedup by Generalizing Runtime Repeated Recursion   Unfolding in Prolog,"Runtime repeated recursion unfolding was recently introduced as a just-in-time program transformation strategy that can achieve super-linear speedup. So far, the method was restricted to single linear direct recursive rules in the programming language Constraint Handling Rules (CHR). In this companion paper, we generalize the technique to multiple recursion and to multiple recursive rules and provide an implementation of the generalized method in the logic programming language Prolog.   The basic idea of the approach is as follows: When a recursive call is encountered at runtime, the recursive rule is unfolded with itself and this process is repeated with each resulting unfolded rule as long as it is applicable to the current call. In this way, more and more recursive steps are combined into one recursive step. Then an interpreter applies these rules to the call starting from the most unfolded rule. For recursions which have sufficiently simplifyable unfoldings, a super-linear can be achieved, i.e. the time complexity is reduced.   We implement an unfolder, a generalized meta-interpreter and a novel round-robin rule processor for our generalization of runtime repeated recursion unfolding with just ten clauses in Prolog. We illustrate the feasibility of our technique with worst-case time complexity estimates and benchmarks for some basic classical algorithms that achieve a super-linear speedup.",superlinear speedup generalizing runtime repeated recursion unfolding prolog,runtime repeated recursion unfolding recently introduced justintime program transformation strategy achieve superlinear speedup far method restricted single linear direct recursive rules programming language constraint handling rules chr companion paper generalize technique multiple recursion multiple recursive rules provide implementation generalized method logic programming language prolog basic idea approach follows recursive call encountered runtime recursive rule unfolded process repeated resulting unfolded rule long applicable current call way recursive steps combined one recursive step interpreter applies rules call starting unfolded rule recursions sufficiently simplifyable unfoldings superlinear achieved ie time complexity reduced implement unfolder generalized metainterpreter novel roundrobin rule processor generalization runtime repeated recursion unfolding ten clauses prolog illustrate feasibility technique worstcase time complexity estimates benchmarks basic classical algorithms achieve superlinear speedup
MS-BioGraphs: Sequence Similarity Graph Datasets,"Progress in High-Performance Computing in general, and High-Performance Graph Processing in particular, is highly dependent on the availability of publicly-accessible, relevant, and realistic data sets.   To ensure continuation of this progress, we (i) investigate and optimize the process of generating large sequence similarity graphs as an HPC challenge and (ii) demonstrate this process in creating MS-BioGraphs, a new family of publicly available real-world edge-weighted graph datasets with up to $2.5$ trillion edges, that is, $6.6$ times greater than the largest graph published recently. The largest graph is created by matching (i.e., all-to-all similarity aligning) $1.7$ billion protein sequences. The MS-BioGraphs family includes also seven subgraphs with different sizes and direction types.   We describe two main challenges we faced in generating large graph datasets and our solutions, that are, (i) optimizing data structures and algorithms for this multi-step process and (ii) WebGraph parallel compression technique. We present a comparative study of structural characteristics of MS-BioGraphs.   The datasets are available online on https://blogs.qub.ac.uk/DIPSA/MS-BioGraphs .",msbiographs sequence similarity graph datasets,progress highperformance computing general highperformance graph processing particular highly dependent availability publiclyaccessible relevant realistic data sets ensure continuation progress investigate optimize process generating large sequence similarity graphs hpc challenge ii demonstrate process creating msbiographs new family publicly available realworld edgeweighted graph datasets trillion edges times greater largest graph published recently largest graph created matching ie alltoall similarity aligning billion protein sequences msbiographs family includes also seven subgraphs different sizes direction types describe two main challenges faced generating large graph datasets solutions optimizing data structures algorithms multistep process ii webgraph parallel compression technique present comparative study structural characteristics msbiographs datasets available online httpsblogsqubacukdipsamsbiographs
DPCL: a Language Template for Normative Specifications,"Several solutions for specifying normative artefacts (norms, contracts, policies) in a computational processable way have been presented in the literature. Legal core ontologies have been proposed to systematize concepts and relationships relevant to normative reasoning. However, no solution amongst those has achieved general acceptance, and no common ground (representational, computational) has been identified enabling us to easily compare them. Yet, all these efforts share the same motivation of representing normative directives, therefore it is plausible that there may be a representational model encompassing all of them. This presentation will introduce DPCL, a domain-specific language (DSL) for specifying higher-level policies (including norms, contracts, etc.), centred on Hohfeld's framework of fundamental legal concepts. DPCL has to be seen primarily as a ""template"", i.e. as an informational model for architectural reference, rather than a fully-fledged formal language; it aims to make explicit the general requirements that should be expected in a language for norm specification. In this respect, it goes rather in the direction of legal core ontologies, but differently from those, our proposal aims to keep the character of a DSL, rather than a set of axioms in a logical framework: it is meant to be cross-compiled to underlying languages/tools adequate to the type of target application. We provide here an overview of some of the language features.",dpcl language template normative specifications,several solutions specifying normative artefacts norms contracts policies computational processable way presented literature legal core ontologies proposed systematize concepts relationships relevant normative reasoning however solution amongst achieved general acceptance common ground representational computational identified enabling us easily compare yet efforts share motivation representing normative directives therefore plausible may representational model encompassing presentation introduce dpcl domainspecific language dsl specifying higherlevel policies including norms contracts etc centred hohfelds framework fundamental legal concepts dpcl seen primarily template ie informational model architectural reference rather fullyfledged formal language aims make explicit general requirements expected language norm specification respect goes rather direction legal core ontologies differently proposal aims keep character dsl rather set axioms logical framework meant crosscompiled underlying languagestools adequate type target application provide overview language features
A Priority-Aware Multiqueue NIC Design,"Low-level embedded systems are used to control cyber-phyiscal systems in industrial and autonomous applications. They need to meet hard real-time requirements as unanticipated controller delays on moving machines can have devastating effects. Modern developments such as the industrial Internet of Things and autonomous machines require these devices to connect to large IP networks. Since Network Interface Controllers (NICs) trigger interrupts for incoming packets, real-time embedded systems are subject to unpredictable preemptions when connected to such networks.   In this work, we propose a priority-aware NIC design to moderate network-generated interrupts by mapping IP flows to processes and based on that, consolidates their packets into different queues. These queues apply priority-dependent interrupt moderation. First experimental evaluations show that 93% of interrupts can be saved leading to an 80% decrease of processing delay of critical tasks in the configurations investigated.",priorityaware multiqueue nic design,lowlevel embedded systems used control cyberphyiscal systems industrial autonomous applications need meet hard realtime requirements unanticipated controller delays moving machines devastating effects modern developments industrial internet things autonomous machines require devices connect large ip networks since network interface controllers nics trigger interrupts incoming packets realtime embedded systems subject unpredictable preemptions connected networks work propose priorityaware nic design moderate networkgenerated interrupts mapping ip flows processes based consolidates packets different queues queues apply prioritydependent interrupt moderation first experimental evaluations show interrupts saved leading decrease processing delay critical tasks configurations investigated
"Towards Fast, Adaptive, and Hardware-Assisted User-Space Scheduling","Modern datacenter applications are prone to high tail latencies since their requests typically follow highly-dispersive distributions. Delivering fast interrupts is essential to reducing tail latency. Prior work has proposed both OS- and system-level solutions to reduce tail latencies for microsecond-scale workloads through better scheduling. Unfortunately, existing approaches like customized dataplane OSes, require significant OS changes, experience scalability limitations, or do not reach the full performance capabilities hardware offers.   The emergence of new hardware features like UINTR exposed new opportunities to rethink the design paradigms and abstractions of traditional scheduling systems. We propose LibPreemptible, a preemptive user-level threading library that is flexible, lightweight, and adaptive. LibPreemptible was built with a set of optimizations like LibUtimer for scalability, and deadline-oriented API for flexible policies, time-quantum controller for adaptiveness. Compared to the prior state-of-the-art scheduling system Shinjuku, our system achieves significant tail latency and throughput improvements for various workloads without modifying the kernel. We also demonstrate the flexibility of LibPreemptible across scheduling policies for real applications experiencing varying load levels and characteristics.",towards fast adaptive hardwareassisted userspace scheduling,modern datacenter applications prone high tail latencies since requests typically follow highlydispersive distributions delivering fast interrupts essential reducing tail latency prior work proposed os systemlevel solutions reduce tail latencies microsecondscale workloads better scheduling unfortunately existing approaches like customized dataplane oses require significant os changes experience scalability limitations reach full performance capabilities hardware offers emergence new hardware features like uintr exposed new opportunities rethink design paradigms abstractions traditional scheduling systems propose libpreemptible preemptive userlevel threading library flexible lightweight adaptive libpreemptible built set optimizations like libutimer scalability deadlineoriented api flexible policies timequantum controller adaptiveness compared prior stateoftheart scheduling system shinjuku system achieves significant tail latency throughput improvements various workloads without modifying kernel also demonstrate flexibility libpreemptible across scheduling policies real applications experiencing varying load levels characteristics
High-performance symbolic-numerics via multiple dispatch,"As mathematical computing becomes more democratized in high-level languages, high-performance symbolic-numeric systems are necessary for domain scientists and engineers to get the best performance out of their machine without deep knowledge of code optimization. Naturally, users need different term types either to have different algebraic properties for them, or to use efficient data structures. To this end, we developed Symbolics.jl, an extendable symbolic system which uses dynamic multiple dispatch to change behavior depending on the domain needs. In this work we detail an underlying abstract term interface which allows for speed without sacrificing generality. We show that by formalizing a generic API on actions independent of implementation, we can retroactively add optimized data structures to our system without changing the pre-existing term rewriters. We showcase how this can be used to optimize term construction and give a 113x acceleration on general symbolic transformations. Further, we show that such a generic API allows for complementary term-rewriting implementations. We demonstrate the ability to swap between classical term-rewriting simplifiers and e-graph-based term-rewriting simplifiers. We showcase an e-graph ruleset which minimizes the number of CPU cycles during expression evaluation, and demonstrate how it simplifies a real-world reaction-network simulation to halve the runtime. Additionally, we show a reaction-diffusion partial differential equation solver which is able to be automatically converted into symbolic expressions via multiple dispatch tracing, which is subsequently accelerated and parallelized to give a 157x simulation speedup. Together, this presents Symbolics.jl as a next-generation symbolic-numeric computing environment geared towards modeling and simulation.",highperformance symbolicnumerics via multiple dispatch,mathematical computing becomes democratized highlevel languages highperformance symbolicnumeric systems necessary domain scientists engineers get best performance machine without deep knowledge code optimization naturally users need different term types either different algebraic properties use efficient data structures end developed symbolicsjl extendable symbolic system uses dynamic multiple dispatch change behavior depending domain needs work detail underlying abstract term interface allows speed without sacrificing generality show formalizing generic api actions independent implementation retroactively add optimized data structures system without changing preexisting term rewriters showcase used optimize term construction give x acceleration general symbolic transformations show generic api allows complementary termrewriting implementations demonstrate ability swap classical termrewriting simplifiers egraphbased termrewriting simplifiers showcase egraph ruleset minimizes number cpu cycles expression evaluation demonstrate simplifies realworld reactionnetwork simulation halve runtime additionally show reactiondiffusion partial differential equation solver able automatically converted symbolic expressions via multiple dispatch tracing subsequently accelerated parallelized give x simulation speedup together presents symbolicsjl nextgeneration symbolicnumeric computing environment geared towards modeling simulation
Advancing Data Justice Research and Practice: An Integrated Literature   Review,"The Advancing Data Justice Research and Practice (ADJRP) project aims to widen the lens of current thinking around data justice and to provide actionable resources that will help policymakers, practitioners, and impacted communities gain a broader understanding of what equitable, freedom-promoting, and rights-sustaining data collection, governance, and use should look like in increasingly dynamic and global data innovation ecosystems. In this integrated literature review we hope to lay the conceptual groundwork needed to support this aspiration. The introduction motivates the broadening of data justice that is undertaken by the literature review which follows. First, we address how certain limitations of the current study of data justice drive the need for a re-location of data justice research and practice. We map out the strengths and shortcomings of the contemporary state of the art and then elaborate on the challenges faced by our own effort to broaden the data justice perspective in the decolonial context. The body of the literature review covers seven thematic areas. For each theme, the ADJRP team has systematically collected and analysed key texts in order to tell the critical empirical story of how existing social structures and power dynamics present challenges to data justice and related justice fields. In each case, this critical empirical story is also supplemented by the transformational story of how activists, policymakers, and academics are challenging longstanding structures of inequity to advance social justice in data innovation ecosystems and adjacent areas of technological practice.",advancing data justice research practice integrated literature review,advancing data justice research practice adjrp project aims widen lens current thinking around data justice provide actionable resources help policymakers practitioners impacted communities gain broader understanding equitable freedompromoting rightssustaining data collection governance use look like increasingly dynamic global data innovation ecosystems integrated literature review hope lay conceptual groundwork needed support aspiration introduction motivates broadening data justice undertaken literature review follows first address certain limitations current study data justice drive need relocation data justice research practice map strengths shortcomings contemporary state art elaborate challenges faced effort broaden data justice perspective decolonial context body literature review covers seven thematic areas theme adjrp team systematically collected analysed key texts order tell critical empirical story existing social structures power dynamics present challenges data justice related justice fields case critical empirical story also supplemented transformational story activists policymakers academics challenging longstanding structures inequity advance social justice data innovation ecosystems adjacent areas technological practice
If a tree casts a shadow is it telling the time?,"Physical processes are computations only when we use them to externalize thought. Computation is the performance of one or more fixed processes within a contingent environment. We reformulate the Church-Turing thesis so that it applies to programs rather than to computability. When suitably formulated agent-based computing in an open, multi-scalar environment represents the current consensus view of how we interact with the world. But we don't know how to formulate multi-scalar environments.",tree casts shadow telling time,physical processes computations use externalize thought computation performance one fixed processes within contingent environment reformulate churchturing thesis applies programs rather computability suitably formulated agentbased computing open multiscalar environment represents current consensus view interact world dont know formulate multiscalar environments
Computational Solutions for Today's Navy,New methods are being employed to meet the Navy's changing software-development environment.,computational solutions todays navy,new methods employed meet navys changing softwaredevelopment environment
Proceedings of the 5th Workshop on Membrane Computing and Biologically   Inspired Process Calculi (MeCBIC 2011),"This volume represents the proceedings of the 5th Workshop on Membrane Computing and Biologically Inspired Process Calculi (MeCBIC 2011), held together with the 12th International Conference on Membrane Computing on 23rd August 2011 in Fontainebleau, France.",proceedings th workshop membrane computing biologically inspired process calculi mecbic,volume represents proceedings th workshop membrane computing biologically inspired process calculi mecbic held together th international conference membrane computing rd august fontainebleau france
Proceedings First Workshop on CTP Components for Educational Software,"The THedu'11 workshop received thirteen submissions, twelve of which were accepted and presented during the workshop. For the post-conference proceedings nine submission where received and accepted. The submissions are within the scope of the following points, which have been announced in the call of papers: CTP-based software tools for education; CTP technology combined with novel interfaces, drag and drop, etc.; technologies to access ITP knowledge relevant for a certain step of problem solving; usability considerations on representing ITP knowledge; combination of deduction and computation; formal problem specifications; effectiveness of ATP in checking user input; formats for deductive content in proof documents, geometric constructions, etc; formal domain models for e-learning in mathematics and applications.",proceedings first workshop ctp components educational software,thedu workshop received thirteen submissions twelve accepted presented workshop postconference proceedings nine submission received accepted submissions within scope following points announced call papers ctpbased software tools education ctp technology combined novel interfaces drag drop etc technologies access itp knowledge relevant certain step problem solving usability considerations representing itp knowledge combination deduction computation formal problem specifications effectiveness atp checking user input formats deductive content proof documents geometric constructions etc formal domain models elearning mathematics applications
Making FPGAs Accessible to Scientists and Engineers as Domain Expert   Software Programmers with LabVIEW,"In this paper we present a graphical programming framework, LabVIEW, and associated language and libraries, as well as programming techniques and patterns that we have found useful in making FPGAs accessible to scientists and engineers as domain expert software programmers.",making fpgas accessible scientists engineers domain expert software programmers labview,paper present graphical programming framework labview associated language libraries well programming techniques patterns found useful making fpgas accessible scientists engineers domain expert software programmers
Compact Formulae in Sparse Elimination,"It has by now become a standard approach to use the theory of sparse (or toric) elimination, based on the Newton polytope of a polynomial, in order to reveal and exploit the structure of algebraic systems. This talk surveys compact formulae, including older and recent results, in sparse elimination. We start with root bounds and juxtapose two recent formulae: a generating function of the m-B{\'e}zout bound and a closed-form expression for the mixed volume by means of a matrix permanent. For the sparse resultant, a bevy of results have established determinantal or rational formulae for a large class of systems, starting with Macaulay. The discriminant is closely related to the resultant but admits no compact formula except for very simple cases. We offer a new determinantal formula for the discriminant of a sparse multilinear system arising in computing Nash equilibria. We introduce an alternative notion of compact formula, namely the Newton polytope of the unknown polynomial. It is possible to compute it efficiently for sparse resultants, discriminants, as well as the implicit equation of a parameterized variety. This leads us to consider implicit matrix representations of geometric objects.",compact formulae sparse elimination,become standard approach use theory sparse toric elimination based newton polytope polynomial order reveal exploit structure algebraic systems talk surveys compact formulae including older recent results sparse elimination start root bounds juxtapose two recent formulae generating function mbezout bound closedform expression mixed volume means matrix permanent sparse resultant bevy results established determinantal rational formulae large class systems starting macaulay discriminant closely related resultant admits compact formula except simple cases offer new determinantal formula discriminant sparse multilinear system arising computing nash equilibria introduce alternative notion compact formula namely newton polytope unknown polynomial possible compute efficiently sparse resultants discriminants well implicit equation parameterized variety leads us consider implicit matrix representations geometric objects
Folding One Polyhedral Metric Graph into Another,"We analyze the problem of folding one polyhedron, viewed as a metric graph of its edges, into the shape of another, similar to 1D origami. We find such foldings between all pairs of Platonic solids and prove corresponding lower bounds, establishing the optimal scale factor when restricted to integers. Further, we establish that our folding problem is also NP-hard, even if the source graph is a tree. It turns out that the problem is hard to approximate, as we obtain NP-hardness even for determining the existence of a scale factor 1.5-{\epsilon}. Finally, we prove that, in general, the optimal scale factor has to be rational. This insight then immediately results in NP membership. In turn, verifying whether a given scale factor is indeed the smallest possible, requires two independent calls to an NP oracle, rendering the problem DP-complete.",folding one polyhedral metric graph another,analyze problem folding one polyhedron viewed metric graph edges shape another similar origami find foldings pairs platonic solids prove corresponding lower bounds establishing optimal scale factor restricted integers establish folding problem also nphard even source graph tree turns problem hard approximate obtain nphardness even determining existence scale factor epsilon finally prove general optimal scale factor rational insight immediately results np membership turn verifying whether given scale factor indeed smallest possible requires two independent calls np oracle rendering problem dpcomplete
The Persistent Buffer Tree : An I/O-efficient Index for Temporal Data,"In a variety of applications, we need to keep track of the development of a data set over time. For maintaining and querying this multi version data I/O-efficiently, external memory data structures are required. In this paper, we present a probabilistic self-balancing persistent data structure in external memory called the persistent buffer tree, which supports insertions, updates and deletions of data items at the present version and range queries for any version, past or present. The persistent buffer tree is I/O-optimal in the sense that the expected amortized I/O performance bounds are asymptotically the same as the deterministic amortized bounds of the (single version) buffer tree in the worst case.",persistent buffer tree ioefficient index temporal data,variety applications need keep track development data set time maintaining querying multi version data ioefficiently external memory data structures required paper present probabilistic selfbalancing persistent data structure external memory called persistent buffer tree supports insertions updates deletions data items present version range queries version past present persistent buffer tree iooptimal sense expected amortized io performance bounds asymptotically deterministic amortized bounds single version buffer tree worst case
